key.id,value.course_code,value.sis_source_id,value.enrollment_term_id,value.workflow_state
25322,VPD130- 24V - Sogndal og Haugesund,UA_203_VPD130_1_2024_VÅR_1_2,221,available
24782,MAS143 Bergen - Allmenn maskin (1),UA_203_MAS143_1_2024_VÅR_1_1,221,available
25507,DAT255-1 24V,UE_203_DAT255_1_2024_VÅR_1,221,available
24602,MAT301 Bergen 24V,UA_203_MAT301_1_2024_VÅR_1_1,221,available
26877,ENB802N - Klasse B (2),UA_203_ENB802N_1_2024_VÅR_1_2,221,available
25973,LUPEKI203-1 24V,UE_203_LUPEKI203_1_2024_VÅR_1,221,available
26600,PHD912-1 24V,UE_203_PHD912_1_2024_VÅR_1,221,available
26006,MASB520-1 24V,UE_203_MASB520_1_2024_VÅR_1,221,available
24494,MAT202 Elektro og kjemi 24V,UA_203_MAT202_1_2024_VÅR_1_4,221,available
26975,MKS591-1 23H,UE_203_MKS591_1_2023_HØST_1,219,available
25861,MARA510-1 24V,UE_203_MARA510_1_2024_VÅR_1,221,available
24784,MGBKØ401 Bergen (1),UA_203_MGBKØ401_1_2024_VÅR_1_1,221,available
27538,MAS130-1 24V,UE_203_MAS130_1_2024_VÅR_1,221,available
26121,MHE804-1 24V,UE_203_MHE804_1_2024_VÅR_1,221,available
25481,BYG161-1 24V,UE_203_BYG161_1_2024_VÅR_1,221,available
26186,MKUF502D-1 24V,UE_203_MKUF502D_1_2024_VÅR_1,221,available
25747,MAKP601-1 24V,UE_203_MAKP601_1_2024_VÅR_1,222,available
24951,MGUEN201 Bergen (1),UA_203_MGUEN201_1_2024_VÅR_1_1,221,available
26689,ØKB3123-1 24V,UE_203_ØKB3123_1_2024_VÅR_1,221,available
26250,MGBMH/MGUMH401 (24V),UE_203_MGBMH401_1_2024_VÅR_1,221,available
22370,MARA590-1 23V,UE_203_MARA590_1_2023_VÅR_1,211,available
25780,ENB802-1 24V,UE_203_ENB802_1_2024_VÅR_1,221,available
24488,Engelsk språk og kultur - nettbasert (1),UA_203_ING151_1_2024_VÅR_1_1,221,available
26479,SYKB120P-1 23H,UE_203_SYKB120P_1_2023_HØST_1,219,available
26247,"MGB/MGUMH301A 24V Mat og helse 2, emne 1",UE_203_MGBMH301A_1_2024_VÅR_1,221,available
27402,FØS8125-1 24V,UE_203_FØS8125_1_2024_VÅR_1,221,available
25889,ERG220-1 24V,UE_203_ERG220_1_2024_VÅR_1,221,available
26295,MGUMA301-1 24V,UE_203_MGUMA301_1_2024_VÅR_1,221,available
26211,MGBKR201/MGUKR201-1 24V,UE_203_MGBKR201_1_2024_VÅR_1,221,available
26655,ØKB2123-1 24V,UE_203_ØKB2123_1_2024_VÅR_1,221,available
25069,MGUSA201 Bergen (1),UA_203_MGUSA201_1_2024_VÅR_1_1,221,available
25329,REAL101 Bergen (1),UA_203_REAL101_1_2024_VÅR_1_1,221,available
24724,MGB/MGU NO503 Stord (3),UA_203_MGBNO503_1_2024_VÅR_1_3,221,available
25338,Haugesund VPD210 (1),UA_203_VPD210_1_2024_VÅR_1_1,221,available
26650,SYKF120P-1 23H,UE_203_SYKF120P_1_2023_HØST_1,219,available
25829,ING172-1 24V,UE_203_ING172_1_2024_VÅR_1,221,available
24355,Kullrom - S-GLU 1-7 - kull 2023 (Samlingsbasert),KU_MGBNS_2023_HØST,1,available
25977,MAS207-1 24V,UE_203_MAS207_1_2024_VÅR_1,221,available
25190,BAMM1002-1 24V,UE_203_BAMM1002_1_2024_VÅR_1,221,available
26118,MDIP/MPUV 505 - Utdanningsforskning i praksis - V24,UE_203_MDIP505_1_2024_VÅR_1,221,available
27514,MDIP501G-1 24V,UE_203_MDIP501G_1_2024_VÅR_1,221,available
25457,Sogndal VPL390 (2),UA_203_VPL390_1_2024_VÅR_1_2,221,available
25336,BIO207-1 24V,UE_203_BIO207_1_2024_VÅR_1,221,available
26787,VPD130-1 24V,UE_203_VPD130_1_2024_VÅR_1,221,claimed
25214,PPUA306 Sogndal (1),UA_203_PPUA306_1_2023_HØST_1_1,219,available
26664,SYKF130-1 24V,UE_203_SYKF130_1_2024_VÅR_1,221,available
24487,MGB/MGUMA503 Sogndal (2),UA_203_MGBMA503_1_2024_VÅR_1_2,221,available
26308,MT501-1 24V,UE_203_MT501_1_2024_VÅR_1,221,available
25217,MGUPE201 Sogndal (2),UA_203_MGUPE201_1_2024_VÅR_1_2,221,available
25579,GE484-1 24V,UE_203_GE484_1_2024_VÅR_1,221,available
25337,REAL102 Bergen (1),UA_203_REAL102_1_2024_VÅR_1_1,221,available
25458,BYG107-1 24V,UE_203_BYG107_1_2024_VÅR_1,221,available
26780,SYKS140-1 24V,UE_203_SYKS140_1_2024_VÅR_1,221,available
25331,BIO206-1 24V,UE_203_BIO206_1_2024_VÅR_1,221,available
26662,ØKB3103-1 24V,UE_203_ØKB3103_1_2024_VÅR_1,221,available
26420,MGUNOR401-1 24V,UE_203_MGUNOR401_1_2024_VÅR_1,221,available
25210,PPUA305 Stord (2),UA_203_PPUA305_1_2023_HØST_1_2,219,claimed
25693,ELE250-1 24V,UE_203_ELE250_1_2024_VÅR_1,221,available
24482,MGBMA503 Bergen (1),UA_203_MGBMA503_1_2024_VÅR_1_1,221,available
25692,FRIB104-1 23H,UE_203_FRIB104_1_2023_HØST_1,219,available
26419,NABP2003-1 24V,UE_203_NABP2003_1_2024_VÅR_1,221,available
25688,ELE217-1 24V,UE_203_ELE217_1_2024_VÅR_1,221,available
26777,SYKS130-1 23H,UE_203_SYKS130_1_2023_HØST_1,220,available
26535,RAD390-1 23H,UE_203_RAD390_1_2023_HØST_1,219,available
24599,BULL101 Bergen - Klasse E (8),UA_203_BULL101_1_2023_HØST_1_8,219,available
25323,MGUPE301 Bergen - masterfag KRLE/SAM - V24,UA_203_MGUPE301_1_2024_VÅR_1_6,221,available
26412,MGUNO201-1 24V,UE_203_MGUNO201_1_2024_VÅR_1,221,available
25685,ELE213-1 24V,UE_203_ELE213_1_2024_VÅR_1,221,available
24597,KKK202 Sogndal (1),UA_203_KKK202_1_2023_HØST_1_1,219,available
25564,DRA308-1 24V,UE_203_DRA308_1_2024_VÅR_1,221,available
26418,MGUNOR301-1 24V,UE_203_MGUNOR301_1_2024_VÅR_1,221,available
26659,ØKB2124-1 24V,UE_203_ØKB2124_1_2024_VÅR_1,221,available
25328,MGUPE301 Bergen - masterfag NAT/ENG  - V24,UA_203_MGUPE301_1_2024_VÅR_1_7,221,available
25448,BYG102-1 24V,UE_203_BYG102_1_2024_VÅR_1,221,available
26779,VOØ006-1 24V,UE_203_VOØ006_1_2024_VÅR_1,221,available
25568,DTP001-1 23H,UE_203_DTP001_1_2023_HØST_1,219,claimed
24473,"MAT202 Haugesund - Automatisering, Brann og Maskin 2024 vår",UA_203_MAT202_1_2024_VÅR_1_15,221,available
26773,VEI 802/803 - 24V Profesjonskvalifisering,UE_203_VEI802_1_2024_VÅR_1,221,available
25563,DAT154-1 24V,UE_203_DAT154_1_2024_VÅR_1,221,available
26651,ØKB2121-1 24V,UE_203_ØKB2121_1_2024_VÅR_1,221,available
25683,HVF852-1 24V,UE_203_HVF852_1_2024_VÅR_1,221,available
25682,FOR022-1 23H,UE_203_FOR022_1_2023_HØST_1,219,available
25560,DAT153-1 24V,UE_203_DAT153_1_2024_VÅR_1,221,available
25237,MGUPE201 Bergen - Klasse NOR - V24,UA_203_MGUPE201_1_2024_VÅR_1_6,221,available
26568,REAL111-1 23H,UE_203_REAL111_1_2023_HØST_1,219,available
27656,SYKI110-1 24V,UE_203_SYKI110_1_2024_VÅR_1,221,claimed
27414,MGBNO101 Bergen - Klasse SAM 2/KRLE  - V24,UA_203_MGBNO101_1_2024_VÅR_1_12,221,available
26446,SPB801-1 23H,UE_203_SPB801_1_2023_HØST_1,219,available
26204,MGBKHS201-1 24V,UE_203_MGBKHS201_1_2024_VÅR_1,221,available
25478,MGUPØ101 Sogndal (11),UA_203_MGUPØ101_1_2023_HØST_1_11,219,available
27413,MGBMA101 Bergen - Klasse SAM 2/KRLE - V24,UA_203_MGBMA101_1_2024_VÅR_1_12,221,available
25356,BIO306-1 24V,UE_203_BIO306_1_2024_VÅR_1,221,available
26445,MGUSA102-1 24V,UE_203_MGUSA102_1_2024_VÅR_1,221,available
25235,BARN390-1 24V,UE_203_BARN390_1_2024_VÅR_1,221,available
26324,MPUV501A-1 24V,UE_203_MPUV501A_1_2024_VÅR_1,221,available
25476,BYG119-1 23H,UE_203_BYG119_1_2023_HØST_1,219,available
25234,PPUY305 Stord (2),UA_203_PPUY305_1_2023_HØST_1_2,219,claimed
26323,NAB1001-1 24V,UE_203_NAB1001_1_2024_VÅR_1,221,available
27419,MAS220 Bergen - Alle linjer,UA_203_MAS220_1_2024_VÅR_1_1,221,available
26329,NAB1027-1 24V,UE_203_NAB1027_1_2024_VÅR_1,221,available
25119,ADA527-1 24V,UE_203_ADA527_1_2024_VÅR_1,221,available
26207,MGB/MGUEN503-1 24V,UE_203_MGUEN503_1_2024_VÅR_1,221,available
25359,SA6-405 - Haugesund (2),UA_203_SA6-405_1_2024_VÅR_1_2,221,available
26327,MPUV501B-1 24V,UE_203_MPUV501B_1_2024_VÅR_1,221,available
26681,ØKB3119-1 24V,UE_203_ØKB3119_1_2024_VÅR_1,221,available
25471,BYG115-1 24V,UE_203_BYG115_1_2024_VÅR_1,221,available
26560,RE6-2010-1 24V,UE_203_RE6-2010_1_2024_VÅR_1,221,available
25233,MGUPE201 Bergen - Klasse SAM - V24,UA_203_MGUPE201_1_2024_VÅR_1_5,221,available
26564,SYKDB140-1 24V,UE_203_SYKDB140_1_2024_VÅR_1,221,available
26322,MOØ300-1 24V,UE_203_MOØ300_1_2024_VÅR_1,221,available
25354,SA6-405 - Førde (1),UA_203_SA6-405_1_2024_VÅR_1_1,221,available
25475,MGUPØ101 Stord (10),UA_203_MGUPØ101_1_2023_HØST_1_10,219,available
26684,SYKF200-1 24V,UE_203_SYKF200_1_2024_VÅR_1,221,available
25474,BYG117-1 24V,UE_203_BYG117_1_2024_VÅR_1,221,available
26441,SO590-2 24V,UE_203_SO590_2_2024_VÅR_1,221,available
25472,MGUPØ101 Bergen - Klasse SAM (1),UA_203_MGUPØ101_1_2023_HØST_1_1,219,available
26561,SYKDB130-1 23H,UE_203_SYKDB130_1_2023_HØST_1,220,available
26682,THO802-1 24V,UE_203_THO802_1_2024_VÅR_1,221,available
26436,SO202-1 24V,UE_203_SO202_1_2024_VÅR_1,221,available
25468,BYG113-1 24V,UE_203_BYG113_1_2024_VÅR_1,221,available
25589,FHA412-1 24V,UE_203_FHA412_1_2024_VÅR_1,221,available
27404,FØS8301-1 24V,UE_203_FØS8301_1_2024_VÅR_1,221,available
26556,SYKDB120P-1 24V,UE_203_SYKDB120P_1_2024_VÅR_1,225,available
25588,PL4-303/GE487 24V Runoff Management,UE_203_GE487_1_2024_VÅR_1,221,available
27403,FØS8140-1 24V,UE_203_FØS8140_1_2024_VÅR_1,221,available
25104,MGUNO503 Bergen (1),UA_203_MGUNO503_1_2024_VÅR_1_1,221,available
25587,FHA318-1 24V,UE_203_FHA318_1_2024_VÅR_1,221,available
26434,NABP3003-1 24V,UE_203_NABP3003_1_2024_VÅR_1,221,available
25102,SABV260 - Sogndal - V24 (2),UA_203_SABV260_1_2024_VÅR_1_2,221,available
26433,PPUA302-1 24V,UE_203_PPUA302_1_2024_VÅR_1,221,available
25223,MGUPE201 Stord (3),UA_203_MGUPE201_1_2024_VÅR_1_3,221,available
26554,PCS928-1 24V,UE_203_PCS928_1_2024_VÅR_1,221,available
26318,MGUMH503-1 24V,UE_203_MGUMH503_1_2024_VÅR_1,221,available
26439,NABP3004-1 24V,UE_203_NABP3004_1_2024_VÅR_1,221,available
25228,Kull 80 SYKF250 Folkehelse i eit nasjonalt og globalt perspektiv,UA_203_SYKF250_1_2024_VÅR_1_2,221,available
26317,Årsstudium musikk v24 MUS301/MUS401,UE_203_MUS301_1_2024_VÅR_1,221,available
27406,NVB013-1 24V,UE_203_NVB013_1_2024_VÅR_1,221,available
27405,NVB012-1 24V,UE_203_NVB012_1_2024_VÅR_1,221,available
25227,MGUPE201 Bergen - Klasse MAT - V24,UA_203_MGUPE201_1_2024_VÅR_1_4,221,available
24491,MGBMA503 Stord (3),UA_203_MGBMA503_1_2024_VÅR_1_3,221,claimed
26791,VPD210-1 24V,UE_203_VPD210_1_2024_VÅR_1,221,claimed
27762,JU5-105-1 24V,UE_203_JU5-105_1_2024_VÅR_1,221,available
26674,SYKF140-1 24V,UE_203_SYKF140_1_2024_VÅR_1,221,available
25101,MGUSA401 Sogndal (3),UA_203_MGUSA401_1_2024_VÅR_1_3,221,available
25463,BYG110-1 24V,UE_203_BYG110_1_2024_VÅR_1,221,available
26794,VPD300-1 24V,UE_203_VPD300_1_2024_VÅR_1,221,available
26672,TAK802-1 24V,UE_203_TAK802_1_2024_VÅR_1,221,available
25220,﻿Kull 79: SYKF250 - Folkehelse i et nasjonalt og globalt perspektiv høst 23 og vår 24,UA_203_SYKF250_1_2023_HØST_1_2,220,available
26551,PCS911-1 24V,UE_203_PCS911_1_2024_VÅR_1,221,available
26550,SYKDB100-1 23H,UE_203_SYKDB100_1_2023_HØST_1,219,available
25340,MGUPE301 Bergen - masterfag MUS/KH/MH/KRO - V24,UA_203_MGUPE301_1_2024_VÅR_1_9,221,available
26509,SYKB250-1 24V,UE_203_SYKB250_1_2024_VÅR_1,221,available
26749,SYKH250-1 24V,UE_203_SYKH250_1_2024_VÅR_1,221,available
25776,KJE115-1 24V,UE_203_KJE115_1_2024_VÅR_1,221,available
24686,BØA117 Bergen - Finansregnskap med analyse  (1),UA_203_BØA117_1_2024_VÅR_1_1,221,available
25655,FLE115-1 23H,UE_203_FLE115_1_2023_HØST_1,219,available
25533,DAT521-1 24V,UE_203_DAT521_1_2024_VÅR_1,221,available
25411,BIDR202-1 24V,UE_203_BIDR202_1_2024_VÅR_1,221,available
26742,ØSS119-1 24V,UE_203_ØSS119_1_2024_VÅR_1,221,available
26500,MSG510-1 24V,UE_203_MSG510_1_2024_VÅR_1,221,available
24563,MGBNO101 Bergen - Klasse ENG/KOH/MUS - V24,UA_203_MGBNO101_1_2024_VÅR_1_1,221,available
26627,SA6-502-1 24V,UE_203_SA6-502_1_2024_VÅR_1,221,available
25658,ELE125-1 24V,UE_203_ELE125_1_2024_VÅR_1,221,available
25779,IDR614-1 24V,UE_203_IDR614_1_2024_VÅR_1,221,available
24688,MGBPØ201 Stord (1),UA_203_MGBPØ201_1_2023_HØST_1_1,219,available
26988,GKB301-1 23H,UE_203_GKB301_1_2023_HØST_1,219,available
26746,TST311-312-313-350 - 23H Tolking til og fra norsk tegnspråk 2,UE_203_TST311_1_2023_HØST_1,219,available
25777,FYS802-1 24V,UE_203_FYS802_1_2024_VÅR_1,221,available
24689,MGBEN201 Bergen (1),UA_203_MGBEN201_1_2024_VÅR_1_1,221,available
25535,DAT102-1 24V,UE_203_DAT102_1_2024_VÅR_1,221,available
25656,HMS001-1 24V,UE_203_HMS001_1_2024_VÅR_1,221,available
24568,MGBNO101 Stord (10),UA_203_MGBNO101_1_2024_VÅR_1_10,221,available
25414,BIDR203-1 24V,UE_203_BIDR203_1_2024_VÅR_1,221,available
24682,MGBNO401 Stord (3),UA_203_MGBNO401_1_2024_VÅR_1_3,221,available
25651,HI104-1 24V,UE_203_HI104_1_2024_VÅR_1,221,available
25772,KJE103-1 24V,UE_203_KJE103_1_2024_VÅR_1,221,available
24561,BNF301 Stord (2),UA_203_BNF301_1_2023_HØST_1_2,219,available
25530,DAT355-1 24V,UE_203_DAT355_1_2024_VÅR_1,221,available
25891,KVL802-1 24V,UE_203_KVL802_1_2024_VÅR_1,221,available
24680,MGBPØ101 Stord (9),UA_203_MGBPØ101_1_2023_HØST_1_9,219,available
24681,BØA116 Sogndal - Markedsføring  (3),UA_203_BØA116_1_2024_VÅR_1_3,221,available
26739,SYKH220P/230P-1 23H/24V,UE_203_SYKH220P_1_2023_HØST_1,220,available
25649,ELE121-1 24V,UE_203_ELE121_1_2024_VÅR_1,221,available
24554,MGBNA401 Bergen (1),UA_203_MGBNA401_1_2024_VÅR_1_1,221,available
25523,EVL-LPL215-1 24V,UE_203_EVL-LPL215_1_2024_VÅR_1,221,available
25644,FIN8101-1 23H,UE_203_FIN8101_1_2023_HØST_1,219,available
25401,BRL111-1 24V,UE_203_BRL111_1_2024_VÅR_1,221,available
24676,BØA116 Haugesund - Markedsføring  (2),UA_203_BØA116_1_2024_VÅR_1_2,221,available
25400,BIDR114-1 23H,UE_203_BIDR114_1_2023_HØST_1,219,available
24673,MGBPØ101 Bergen - Klasse ENG (8),UA_203_MGBPØ101_1_2023_HØST_1_8,219,available
24674,ME6-501 Forsk.design og met. - Førde (2),UA_203_ME6-501_1_2023_HØST_1_2,219,available
25883,KUN809-1 24V,UE_203_KUN809_1_2024_VÅR_1,221,available
24795,DAT109 Førde - Informasjonsteknologi (3),UA_203_DAT109_1_2024_VÅR_1_3,221,available
24553,KAB301 Stord (2),UA_203_KAB301_1_2023_HØST_1_2,219,available
26737,ØSS118-1 24V,UE_203_ØSS118_1_2024_VÅR_1,221,available
26979,SSB801-1 23H,UE_203_SSB801_1_2023_HØST_1,219,available
26736,SIK350/351 23H-24V ,UE_203_SIK350_1_2023_HØST_1,219,available
26977,MSR510-1 24V,UE_203_MSR510_1_2024_VÅR_1,221,available
24798,MGBPE201 Stord (3),UA_203_MGBPE201_1_2024_VÅR_1_3,221,available
26734,TST211-212-213-214 - 23H Tolking til og fra norsk tegnspråk 1,UE_203_TST211_1_2023_HØST_1,219,available
24678,LSUD301 Bergen (2),UA_203_LSUD301_1_2024_VÅR_1_2,221,available
24671,BØA116 Bergen - Markedsføring (1),UA_203_BØA116_1_2024_VÅR_1_1,221,available
24792,MAS144 Bergen - Energi- og havteknologi 24V,UA_203_MAS144_1_2024_VÅR_1_1,221,available
24550,MGBNA301 Sogndal (2),UA_203_MGBNA301_1_2024_VÅR_1_2,221,claimed
24793,MGBPE201 Sogndal (2),UA_203_MGBPE201_1_2024_VÅR_1_2,221,available
24672,MGBNO401 Bergen (1),UA_203_MGBNO401_1_2024_VÅR_1_1,221,available
25881,ING303-1 24V,UE_203_ING303_1_2024_VÅR_1,221,available
24670,ME6-501 Forsk.design og met. - Haugesund  (1),UA_203_ME6-501_1_2023_HØST_1_1,219,available
25677,HVF851-1 24V,UE_203_HVF851_1_2024_VÅR_1,221,available
26524,RAD230-1 24V,UE_203_RAD230_1_2024_VÅR_1,221,available
24587,KKK201 Bergen - Klasse G (3),UA_203_KKK201_1_2024_VÅR_1_3,221,available
25556,FE409-1 24V,UE_203_FE409_1_2024_VÅR_1,221,claimed
26644,ØKB2113-1 24V,UE_203_ØKB2113_1_2024_VÅR_1,221,available
27737,BARN140-1 24V,UE_203_BARN140_1_2024_VÅR_1,221,available
25554,DAT151-1 24V,UE_203_DAT151_1_2024_VÅR_1,221,available
25675,FOR020-1 23H,UE_203_FOR020_1_2023_HØST_1,219,available
25311,MGUPE301 Bergen - masterfag SPED/NOR - V24,UA_203_MGUPE301_1_2024_VÅR_1_4,221,available
25674,ELE143-1 24V,UE_203_ELE143_1_2024_VÅR_1,221,available
25432,BIDR301-1 24V,UE_203_BIDR301_1_2024_VÅR_1,221,available
26521,RAD220-1 24V,UE_203_RAD220_1_2024_VÅR_1,221,available
26769,VBB100-1 23H,UE_203_VBB100_1_2023_HØST_1,219,available
25559,FE410-1 24V,UE_203_FE410_1_2024_VÅR_1,221,available
25679,FOR021-1 23H,UE_203_FOR021_1_2023_HØST_1,219,available
26768,UVN802-1 24V,UE_203_UVN802_1_2024_VÅR_1,221,available
26526,SYKB330P-1 24V,UE_203_SYKB330P_1_2024_VÅR_1,221,available
24589,BULL101 Bergen - Klasse B (5),UA_203_BULL101_1_2023_HØST_1_5,219,available
26405,NABP1012-1 24V,UE_203_NABP1012_1_2024_VÅR_1,221,available
26525,OPR512-1 23H,UE_203_OPR512_1_2023_HØST_1,220,available
25799,ING1027-1 24V,UE_203_ING1027_1_2024_VÅR_1,221,available
25436,BIDR311-1 24V,UE_203_BIDR311_1_2024_VÅR_1,221,available
25790,ING0012-1 23H,UE_203_ING0012_1_2023_HØST_1,219,available
24580,BULL101 Stord (2),UA_203_BULL101_1_2023_HØST_1_2,219,available
26761,SYKH360P-1 23H,UE_203_SYKH360P_1_2023_HØST_1,220,available
26640,ØKB2008-1 24V,UE_203_ØKB2008_1_2024_VÅR_1,221,available
24584,BULL101 Bergen - Klasse A (4),UA_203_BULL101_1_2023_HØST_1_4,219,available
24581,MGBNO101 Bergen - Klasse KRO/MOH - V24,UA_203_MGBNO101_1_2024_VÅR_1_4,221,available
26760,UTE802-1 24V,UE_203_UTE802_1_2024_VÅR_1,221,available
25670,ELE142-1 24V,UE_203_ELE142_1_2024_VÅR_1,221,available
24582,KKK201 Bergen - Klasse F (2),UA_203_KKK201_1_2024_VÅR_1_2,221,available
24461,MAT202 Førde - V2024,UA_203_MAT202_1_2024_VÅR_1_12,221,available
25309,PSBU105 Stord/Haugesund (1),UA_203_PSBU105_1_2024_VÅR_1_1,221,available
26519,SYKB320P-1 24V,UE_203_SYKB320P_1_2024_VÅR_1,221,available
25429,BIDR213-1 24V,UE_203_BIDR213_1_2024_VÅR_1,221,available
25787,FYSP2-1 23H,UE_203_FYSP2_1_2023_HØST_1,219,available
25665,INTP513-1 24V,UE_203_INTP513_1_2024_VÅR_1,221,available
24577,KKK201 Bergen - Klasse E (1),UA_203_KKK201_1_2024_VÅR_1_1,221,available
26511,NTS808-1 24V,UE_203_NTS808_1_2024_VÅR_1,221,available
24695,BØA117 Sogndal - Finansregnskap med analyse  (3),UA_203_BØA117_1_2024_VÅR_1_3,221,available
25664,FLKI8102-1 24V,UE_203_FLKI8102_1_2024_VÅR_1,221,available
24696,MGBPØ201 Sogndal (10),UA_203_MGBPØ201_1_2023_HØST_1_10,219,available
26631,ØKB1113-1 24V,UE_203_ØKB1113_1_2024_VÅR_1,221,available
25663,ELE130-1 24V,UE_203_ELE130_1_2024_VÅR_1,221,available
26637,SYKF100-1 24V,UE_203_SYKF100_1_2024_VÅR_1,221,available
24699,BØA118 Bergen - Makroøkonomi  (1),UA_203_BØA118_1_2024_VÅR_1_1,221,available
25547,DAT110-1 24V,UE_203_DAT110_1_2024_VÅR_1,221,available
25305,MGUPE301 Stord (3),UA_203_MGUPE301_1_2024_VÅR_1_3,221,available
26514,NVB001-1 24V,UE_203_NVB001_1_2024_VÅR_1,221,available
25788,KJE119-1 24V,UE_203_KJE119_1_2024_VÅR_1,221,available
26630,SA6-503-1 24V,UE_203_SA6-503_1_2024_VÅR_1,221,available
25541,DAT107-1 24V,UE_203_DAT107_1_2024_VÅR_1,221,available
25661,FLKI8101-1 23H,UE_203_FLKI8101_1_2023_HØST_1,220,available
24570,BULL101 Sogndal (1),UA_203_BULL101_1_2023_HØST_1_1,219,available
24691,BØA117 Haugesund - Finansregnskap med analyse  (2),UA_203_BØA117_1_2024_VÅR_1_2,221,available
24692,MGB/MGUEN201 Stord (2),UA_203_MGBEN201_1_2024_VÅR_1_2,221,available
21814,PPUA Kull 22-24 Stord,UA_203_PPUA305_1_2022_HØST_1_2,214,available
26029,MAF530-1 24V,UE_203_MAF530_1_2024_VÅR_1,221,available
27117,MF6-2000-1 24V,UE_203_MF6-2000_1_2024_VÅR_1,221,available
27116,ME6-1001-1 24V,UE_203_ME6-1001_1_2024_VÅR_1,221,available
26389,NAB804-1 24V,UE_203_NAB804_1_2024_VÅR_1,221,available
26147,MIDR405-1 24V,UE_203_MIDR405_1_2024_VÅR_1,221,available
25295,BIO175-1 24V,UE_203_BIO175_1_2024_VÅR_1,221,available
27110,JU5-104-1 24V,UE_203_JU5-104_1_2024_VÅR_1,221,available
25053,MGUNO102 Stord (3),UA_203_MGUNO102_1_2024_VÅR_1_3,221,available
25173,STMD101 Bergen (1),UA_203_STMD101_1_2023_HØST_1_1,219,available
26262,MGUKØ102-1 24V,UE_203_MGUKØ102_1_2024_VÅR_1,221,available
26261,"MGB/MGUMH550 - 23H Mat og helse 3, emne 4 - Masteroppgave",UE_203_MGBMH550_1_2023_HØST_1,219,available
26382,MGUNA401/MGBNA401 24V,UE_203_MGUNA401_1_2024_VÅR_1,221,available
25178,NHR101 Bergen - Klasse F (3),UA_203_NHR101_1_2024_VÅR_1_3,221,available
27114,JU6-1001/1004-1 24V,UE_203_JU6-1001_1_2024_VÅR_1,221,available
27113,EM6-3000-1 24V,UE_203_EM6-3000_1_2024_VÅR_1,221,available
25177,STMD101 Sogndal (2),UA_203_STMD101_1_2023_HØST_1_2,219,available
27112,BRL107-1 24V,UE_203_BRL107_1_2024_VÅR_1,225,available
25176,ASP802-1 24V,UE_203_ASP802_1_2024_VÅR_1,221,available
26265,MSK510-1 24V,UE_203_MSK510_1_2024_VÅR_1,221,available
25175,NHR101 Bergen - Klasse E (2),UA_203_NHR101_1_2024_VÅR_1_2,221,available
26143,MIDR404-1 24V,UE_203_MIDR404_1_2024_VÅR_1,221,available
25291,BIO174-1 24V,UE_203_BIO174_1_2024_VÅR_1,221,available
25170,STM102 Stord (2),UA_203_STM102_1_2023_HØST_1_2,219,available
25049,MGUPØ401 Sogndal (3),UA_203_MGUPØ401_1_2024_VÅR_1_3,221,available
26017,MAB802-1 24V,UE_203_MAB802_1_2024_VÅR_1,221,available
27106,EM6-2000-1 24V,UE_203_EM6-2000_1_2024_VÅR_1,221,available
26138,MIDR403-1 24V,UE_203_MIDR403_1_2024_VÅR_1,221,available
26379,NAB802-1 24V,UE_203_NAB802_1_2024_VÅR_1,221,available
27467,SYKI104-1 24V,UE_203_SYKI104_1_2024_VÅR_1,221,available
25048,MGUNO102 Sogndal (2),UA_203_MGUNO102_1_2024_VÅR_1_2,221,available
25168,AOE301-1 23H,UE_203_AOE301_1_2023_HØST_1,220,available
26015,MASM520-1 24V,UE_203_MASM520_1_2024_VÅR_1,221,available
27220,OR6-1008-1 24V,UE_203_OR6-1008_1_2024_VÅR_1,221,available
25283,BIO172-1 24V,UE_203_BIO172_1_2024_VÅR_1,221,available
26372,MGUNA202-1 24V,UE_203_MGUNA202_1_2024_VÅR_1,221,available
26130,MGBPES201-1 24V,UE_203_MGBPES201_1_2024_VÅR_1,221,available
25042,MGUPØ401 Bergen (1),UA_203_MGUPØ401_1_2024_VÅR_1_1,221,available
26493,PT104-1 23H,UE_203_PT104_1_2023_HØST_1,219,available
26491,NORU802-1 24V,UE_203_NORU802_1_2024_VÅR_1,221,available
27466,PHDINN904-1 24V,UE_203_PHDINN904_1_2024_VÅR_1,221,available
25167,STM102 Sogndal (1),UA_203_STM102_1_2023_HØST_1_1,219,available
26256,MSI510-1 24V,UE_203_MSI510_1_2024_VÅR_1,221,available
25045,MGUPØ401 Stord (2),UA_203_MGUPØ401_1_2024_VÅR_1_2,221,available
26014,MAB802N-1 24V,UE_203_MAB802N_1_2024_VÅR_1,221,available
25288,BIO173-1 24V,UE_203_BIO173_1_2024_VÅR_1,221,available
26134,ME4-300-1 23H,UE_203_ME4-300_1_2023_HØST_1,220,available
26375,MGUNA301-1 24V,UE_203_MGUNA301_1_2024_VÅR_1,221,available
25044,MGUNO102 Bergen  (1),UA_203_MGUNO102_1_2024_VÅR_1_1,221,available
27221,RE6-1001-1 24V,UE_203_RE6-1001_1_2024_VÅR_1,221,available
25285,PSBU102 -  Førde (2),UA_203_PSBU102_1_2024_VÅR_1_2,221,available
26374,PL412-2 24V,UE_203_PL412_2_2024_VÅR_1,221,available
25196,BAMM3002-1 24V,UE_203_BAMM3002_1_2024_VÅR_1,221,available
27011,FKN801-1 24V,UE_203_FKN801_1_2024_VÅR_1,221,available
